-6.2516,-5.5196,-3.1303,-6.3647,3.7026,2.4714,5.0196,-7.2367,3.8100,-6.9746
-1.5167,3.6218,-4.4625,3.8725,9.5230,-5.7521,-5.1455,9.7329,-6.5604,-4.1917
6.9669,2.5594,4.1154,9.3643,7.0424,-9.3260,-8.0305,9.6301,-6.2159,6.9188
8.9885,8.8042,8.9864,9.2915,9.6728,3.6925,2.4018,-5.7872,6.5159,1.2216
5.7598,-9.3086,8.0258,4.1204,-3.7861,3.4454,3.1776,-3.5349,-3.3853,9.8874
9.8371,-9.1560,-4.7381,-3.6089,0.2776,8.5010,-5.0545,3.7539,-9.6760,-9.2484
8.1422,5.2103,1.8970,5.2367,9.7622,-5.2043,-2.2852,7.3861,-4.0706,-3.5712
6.7583,-4.4704,-2.2581,2.4153,1.8114,3.4340,0.1879,-1.6283,-7.1529,5.4921
2.7906,-4.4811,8.7575,-0.0582,-9.6683,-6.3086,-1.3451,9.9488,-12.0380,-4.1005
-2.8534,-0.7754,5.7331,8.9185,0.4257,7.5595,2.9709,-5.1524,4.4065,-0.3276
