419.0000,313.0000,264.0000,267.0000,323.0000,385.0000,384.0000,361.0000,339.0000,412.0000
313.0000,400.0000,212.0000,261.0000,395.0000,363.0000,432.0000,367.0000,335.0000,438.0000
264.0000,212.0000,239.0000,146.0000,194.0000,242.0000,244.0000,228.0000,257.0000,259.0000
267.0000,261.0000,146.0000,260.0000,300.0000,317.0000,292.0000,233.0000,248.0000,325.0000
323.0000,395.0000,194.0000,300.0000,475.0000,359.0000,462.0000,358.0000,348.0000,487.0000
385.0000,363.0000,242.0000,317.0000,359.0000,507.0000,371.0000,332.0000,338.0000,391.0000
384.0000,432.0000,244.0000,292.0000,462.0000,371.0000,537.0000,451.0000,378.0000,536.0000
361.0000,367.0000,228.0000,233.0000,358.0000,332.0000,451.0000,457.0000,324.0000,447.0000
339.0000,335.0000,257.0000,248.0000,348.0000,338.0000,378.0000,324.0000,404.0000,426.0000
412.0000,438.0000,259.0000,325.0000,487.0000,391.0000,536.0000,447.0000,426.0000,589.0000
